[02:47:50] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:29] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:29] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:29] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:29] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:29] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:29] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:29] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:29] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:30] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:30] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:30] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:30] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:30] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:30] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:31] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:31] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:31] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:31] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:31] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:31] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:32] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:32] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:32] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:32] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:32] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:32] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1763, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=953, attrs=[MaxDS,DS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1090, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=568, attrs=[MaxDS,DS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1185, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=589, attrs=[MaxDS,DS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:33] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:33] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:34] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:34] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:35] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:35] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:35] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:35] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:35] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:35] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:36] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:36] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:36] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:36] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:36] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:36] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:37] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:37] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:37] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:37] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:37] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:37] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:38] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:38] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:38] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:39] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:39] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:40] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:40] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:40] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:40] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:40] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:40] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:41] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:41] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:41] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:41] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:41] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:41] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:42] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:42] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:42] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:42] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:42] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:42] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:43] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:43] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:43] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:44] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:44] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:45] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:45] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:45] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:45] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:45] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:45] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:46] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:46] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:48:46] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:48:46] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:48:46] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:48:46] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:48:47] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:48:47] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
